/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/splits_final.json --nnunet-config 3d_fullres --fold 4 --outdir runs/umd_multiclass/swinunetr/fold_04 --model swinunetr --task multiclass --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.0002 --poly-power 0.9 --weight-decay 0.05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --loss-dice-weight 1.0 --loss-ce-weight 1.0 --dice-smooth-nr 1e-05 --dice-smooth-dr 1e-05 --grad-clip-norm 12.0 --case-cache-size 16 --fg-cache-size 512 --mta-cache 6 --torch-num-threads 1 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/dataset.json --segresnet-lr-scale 0.1 --swin-feature-size 12 --swin-heads 3 6 12 24 --swin-depths 2 2 2 1 --swin-window 7

[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=5 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/dataset.json
[swin] ROI override for /32 divisibility (floor): (16, 320, 320) -> (32, 320, 320)
[swin] NOTE: ROI changed for divisibility; if you OOM, try --batch-size 1.
[aug] spacing_zyx=(4.400000095367432, 0.4838709533214569, 0.4838709533214569) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[swin] auto_aniso=True anisotropic=True patch_size=(1, 2, 2) window_size=(4, 7, 7) roi=(32, 320, 320) spacing=(4.400000095367432, 0.4838709533214569, 0.4838709533214569)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:221: FutureWarning: monai.networks.nets.swin_unetr SwinUNETR.__init__:img_size: Argument `img_size` has been deprecated since version 1.3. It will be removed in version 1.5. The img_size argument is not required anymore and checks on the input size are run during forward().
  warn_deprecated(argname, msg, warning_category)
[loss] Dice include_background=False (default False).
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.1319 (n=54) | c2:0.0015 (n=54) | c3:0.0053 (n=54) | c4:0.0001 (n=17)
[val] fullcase mean_fg_dice: 0.0347
[fold 4] epoch 0001/1000 | loss 2.2628 | val Dice 0.0347 (fullcase)
[fold 4] saved new best -> runs/umd_multiclass/swinunetr/fold_04/best_swinunetr_fold04.pt
[fold 4] epoch 0002/1000 | loss 1.8764
[fold 4] epoch 0003/1000 | loss 1.6858
[fold 4] epoch 0004/1000 | loss 1.5332
[fold 4] epoch 0005/1000 | loss 1.3944
[fold 4] epoch 0006/1000 | loss 1.2588
[fold 4] epoch 0007/1000 | loss 1.1537
[fold 4] epoch 0008/1000 | loss 1.1034
[fold 4] epoch 0009/1000 | loss 1.0543
[fold 4] epoch 0010/1000 | loss 1.0121
[fold 4] epoch 0011/1000 | loss 0.9889
[fold 4] epoch 0012/1000 | loss 0.9749
[fold 4] epoch 0013/1000 | loss 0.9451
[fold 4] epoch 0014/1000 | loss 0.9078
[fold 4] epoch 0015/1000 | loss 0.9012
[fold 4] epoch 0016/1000 | loss 0.8868
[fold 4] epoch 0017/1000 | loss 0.8459
[fold 4] epoch 0018/1000 | loss 0.8504
[fold 4] epoch 0019/1000 | loss 0.8264
[fold 4] epoch 0020/1000 | loss 0.8171
[fold 4] epoch 0021/1000 | loss 0.7786
[fold 4] epoch 0022/1000 | loss 0.7830
[fold 4] epoch 0023/1000 | loss 0.7822
[fold 4] epoch 0024/1000 | loss 0.7713
[fold 4] epoch 0025/1000 | loss 0.7536
[fold 4] epoch 0026/1000 | loss 0.7400
[fold 4] epoch 0027/1000 | loss 0.7660
[fold 4] epoch 0028/1000 | loss 0.7304
[fold 4] epoch 0029/1000 | loss 0.7136
[fold 4] epoch 0030/1000 | loss 0.7125
[fold 4] epoch 0031/1000 | loss 0.7377
[fold 4] epoch 0032/1000 | loss 0.7222
[fold 4] epoch 0033/1000 | loss 0.7123
[fold 4] epoch 0034/1000 | loss 0.7115
[fold 4] epoch 0035/1000 | loss 0.7096
[fold 4] epoch 0036/1000 | loss 0.7043
[fold 4] epoch 0037/1000 | loss 0.6794
[fold 4] epoch 0038/1000 | loss 0.6881
[fold 4] epoch 0039/1000 | loss 0.6798
[fold 4] epoch 0040/1000 | loss 0.6796
[fold 4] epoch 0041/1000 | loss 0.6917
[fold 4] epoch 0042/1000 | loss 0.6977
[fold 4] epoch 0043/1000 | loss 0.6487
[fold 4] epoch 0044/1000 | loss 0.6626
[fold 4] epoch 0045/1000 | loss 0.6558
[fold 4] epoch 0046/1000 | loss 0.6626
[fold 4] epoch 0047/1000 | loss 0.6513
[fold 4] epoch 0048/1000 | loss 0.6490
[fold 4] epoch 0049/1000 | loss 0.6465
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.6452 (n=54) | c2:0.5620 (n=54) | c3:0.3252 (n=54) | c4:0.1090 (n=17)
[val] fullcase mean_fg_dice: 0.4104
[fold 4] epoch 0050/1000 | loss 0.6320 | val Dice 0.4104 (fullcase)
[fold 4] saved new best -> runs/umd_multiclass/swinunetr/fold_04/best_swinunetr_fold04.pt
[fold 4] epoch 0051/1000 | loss 0.6111
[fold 4] epoch 0052/1000 | loss 0.6155
[fold 4] epoch 0053/1000 | loss 0.6294
[fold 4] epoch 0054/1000 | loss 0.6285
[fold 4] epoch 0055/1000 | loss 0.6110
[fold 4] epoch 0056/1000 | loss 0.6160
[fold 4] epoch 0057/1000 | loss 0.6207
[fold 4] epoch 0058/1000 | loss 0.6056
[fold 4] epoch 0059/1000 | loss 0.6011
[fold 4] epoch 0060/1000 | loss 0.6069
[fold 4] epoch 0061/1000 | loss 0.6065
[fold 4] epoch 0062/1000 | loss 0.5889
[fold 4] epoch 0063/1000 | loss 0.5855
[fold 4] epoch 0064/1000 | loss 0.5809
[fold 4] epoch 0065/1000 | loss 0.5873
[fold 4] epoch 0066/1000 | loss 0.5952
