/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/splits_final.json --nnunet-config 3d_fullres --fold 4 --outdir runs/lms_binary/swinunetr/fold_04 --model swinunetr --task binary --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.0002 --poly-power 0.9 --weight-decay 0.05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 8 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --loss-dice-weight 1.0 --loss-ce-weight 1.0 --dice-smooth-nr 1e-05 --dice-smooth-dr 1e-05 --grad-clip-norm 12.0 --case-cache-size 16 --fg-cache-size 512 --mta-cache 6 --torch-num-threads 1 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/dataset.json --segresnet-lr-scale 0.1 --swin-feature-size 12 --swin-heads 3 6 12 24 --swin-depths 2 2 2 1 --swin-window 7

[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=2 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/dataset.json
[aug] spacing_zyx=(3.3600001335144043, 0.625, 0.625) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[swin] auto_aniso=True anisotropic=True patch_size=(1, 2, 2) window_size=(4, 7, 7) roi=(32, 224, 224) spacing=(3.3600001335144043, 0.625, 0.625)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:221: FutureWarning: monai.networks.nets.swin_unetr SwinUNETR.__init__:img_size: Argument `img_size` has been deprecated since version 1.3. It will be removed in version 1.5. The img_size argument is not required anymore and checks on the input size are run during forward().
  warn_deprecated(argname, msg, warning_category)
[loss] Dice include_background=False (default False).
[val] fullcase evaluating n_cases=8 (requested max_cases=8)
[val] fullcase per-class dice: c1:0.1245 (n=8)
[val] fullcase mean_fg_dice: 0.1245
[fold 4] epoch 0001/1000 | loss 1.3220 | val Dice 0.1245 (fullcase)
[fold 4] saved new best -> runs/lms_binary/swinunetr/fold_04/best_swinunetr_fold04.pt
[fold 4] epoch 0002/1000 | loss 1.1446
[fold 4] epoch 0003/1000 | loss 1.0589
[fold 4] epoch 0004/1000 | loss 1.0042
[fold 4] epoch 0005/1000 | loss 0.9684
[fold 4] epoch 0006/1000 | loss 0.9488
[fold 4] epoch 0007/1000 | loss 0.8989
[fold 4] epoch 0008/1000 | loss 0.9160
[fold 4] epoch 0009/1000 | loss 0.8881
[fold 4] epoch 0010/1000 | loss 0.8710
[fold 4] epoch 0011/1000 | loss 0.8175
[fold 4] epoch 0012/1000 | loss 0.8048
[fold 4] epoch 0013/1000 | loss 0.7856
[fold 4] epoch 0014/1000 | loss 0.8090
[fold 4] epoch 0015/1000 | loss 0.7628
[fold 4] epoch 0016/1000 | loss 0.7437
[fold 4] epoch 0017/1000 | loss 0.7823
[fold 4] epoch 0018/1000 | loss 0.7401
[fold 4] epoch 0019/1000 | loss 0.7296
[fold 4] epoch 0020/1000 | loss 0.7167
[fold 4] epoch 0021/1000 | loss 0.7149
[fold 4] epoch 0022/1000 | loss 0.7439
[fold 4] epoch 0023/1000 | loss 0.7137
[fold 4] epoch 0024/1000 | loss 0.6837
[fold 4] epoch 0025/1000 | loss 0.6890
[fold 4] epoch 0026/1000 | loss 0.6810
[fold 4] epoch 0027/1000 | loss 0.6718
[fold 4] epoch 0028/1000 | loss 0.6428
[fold 4] epoch 0029/1000 | loss 0.6224
[fold 4] epoch 0030/1000 | loss 0.6490
[fold 4] epoch 0031/1000 | loss 0.6346
[fold 4] epoch 0032/1000 | loss 0.6302
[fold 4] epoch 0033/1000 | loss 0.6171
[fold 4] epoch 0034/1000 | loss 0.6291
[fold 4] epoch 0035/1000 | loss 0.6063
[fold 4] epoch 0036/1000 | loss 0.5834
[fold 4] epoch 0037/1000 | loss 0.5992
[fold 4] epoch 0038/1000 | loss 0.5804
[fold 4] epoch 0039/1000 | loss 0.6018
[fold 4] epoch 0040/1000 | loss 0.5852
[fold 4] epoch 0041/1000 | loss 0.5834
[fold 4] epoch 0042/1000 | loss 0.6115
[fold 4] epoch 0043/1000 | loss 0.5951
[fold 4] epoch 0044/1000 | loss 0.5741
[fold 4] epoch 0045/1000 | loss 0.5525
[fold 4] epoch 0046/1000 | loss 0.5733
[fold 4] epoch 0047/1000 | loss 0.5650
[fold 4] epoch 0048/1000 | loss 0.5369
[fold 4] epoch 0049/1000 | loss 0.5556
[val] fullcase evaluating n_cases=8 (requested max_cases=8)
[val] fullcase per-class dice: c1:0.6132 (n=8)
[val] fullcase mean_fg_dice: 0.6132
[fold 4] epoch 0050/1000 | loss 0.5816 | val Dice 0.6132 (fullcase)
[fold 4] saved new best -> runs/lms_binary/swinunetr/fold_04/best_swinunetr_fold04.pt
[fold 4] epoch 0051/1000 | loss 0.5680
[fold 4] epoch 0052/1000 | loss 0.5626
[fold 4] epoch 0053/1000 | loss 0.5300
[fold 4] epoch 0054/1000 | loss 0.5282
[fold 4] epoch 0055/1000 | loss 0.5049
[fold 4] epoch 0056/1000 | loss 0.5331
[fold 4] epoch 0057/1000 | loss 0.5342
[fold 4] epoch 0058/1000 | loss 0.5079
[fold 4] epoch 0059/1000 | loss 0.5321
[fold 4] epoch 0060/1000 | loss 0.5111
[fold 4] epoch 0061/1000 | loss 0.5340
[fold 4] epoch 0062/1000 | loss 0.5063
